time_s,true_x,true_y,amcl_x,amcl_y,amcl_err,ekf_x,ekf_y,ekf_err,eif_x,eif_y,eif_err,rtab_x,rtab_y,rtab_err,fused_x,fused_y,fused_err,ekfr_x,ekfr_y,ekfr_err
0.0,0.011005,-0.009048,0.011005,-0.009048,0.0,0.011005,-0.009048,0.0,0.011005,-0.009048,0.0,0.0,0.0,0.014247,,,,0.000369,0.001119,0.014713
0.229,0.011005,-0.009048,0.011005,-0.009048,0.0,0.011005,-0.009048,0.0,0.011005,-0.009048,0.0,0.0,0.0,0.014247,,,,0.000369,0.001119,0.014713
0.395,0.011005,-0.009048,0.011005,-0.009048,0.0,0.011005,-0.009048,0.0,0.011005,-0.009048,0.0,0.0,0.0,0.014247,0.011005,-0.009048,0.0,0.000369,0.001119,0.014713
0.605,0.011005,-0.009048,0.011005,-0.009048,0.0,0.011005,-0.009048,0.0,0.011005,-0.009048,0.0,0.0,0.0,0.014247,0.011005,-0.009048,0.0,0.000369,0.001119,0.014713
0.7951,0.011005,-0.009048,0.011005,-0.009048,0.0,0.011005,-0.009048,0.0,0.011005,-0.009048,0.0,0.0,0.0,0.014247,0.011005,-0.009048,0.0,0.000369,0.001119,0.014713
0.9957,0.011005,-0.009048,0.011005,-0.009048,0.0,0.011005,-0.009048,0.0,0.011005,-0.009048,0.0,0.0,0.0,0.014247,0.011005,-0.009048,0.0,0.000369,0.001119,0.014713
1.351,0.011005,-0.009048,0.011005,-0.009048,0.0,0.011005,-0.009048,0.0,0.011005,-0.009048,0.0,0.0,0.0,0.014247,0.011005,-0.009048,0.0,0.000369,0.001119,0.014713
1.3948,0.011005,-0.009048,0.011005,-0.009048,0.0,0.011005,-0.009048,0.0,0.011005,-0.009048,0.0,0.0,0.0,0.014247,0.011005,-0.009048,0.0,0.000369,0.001119,0.014713
1.5999,0.011005,-0.009048,0.011005,-0.009048,0.0,0.011005,-0.009048,0.0,0.011005,-0.009048,0.0,0.0,0.0,0.014247,0.011005,-0.009048,0.0,0.000369,0.001119,0.014713
1.8123,0.011005,-0.009048,0.011005,-0.009048,0.0,0.011005,-0.009048,0.0,0.011005,-0.009048,0.0,0.0,0.0,0.014247,0.011005,-0.009048,0.0,0.000369,0.001119,0.014713
